序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,当前状态,涨停价,涨速,振幅
1,同力天启,605286,0.0,2天1板,7.648858547210693,45.74,6.17 亿,76.84 亿,76.84 亿,8.033490180969238,,093202,,2,专用设备,炸板,46.74,-0.02185792475938797,6.166156768798828
2,派诺科技,920375,0.0,0天0板,22.037914276123047,20.6,6.68 亿,13.37 亿,22.39 亿,52.823158264160156,,104756,,4,电网设备,炸板,21.94,0.0,36.61137390136719
3,顺钠股份,000533,4.0,4天4板,10.01344108581543,16.37,8.63 亿,112.12 亿,113.09 亿,7.838573932647705,202478860.0,093012,093012,0,电网设备,涨停,,,
4,王力安防,605268,4.0,4天4板,9.971305847167969,15.33,7653.50 万,67.53 亿,68.42 亿,1.1333904266357422,624731226.0,092503,092503,0,家居用品,涨停,,,
5,美利云,000815,3.0,3天3板,9.993868827819824,17.94,38.49 亿,124.73 亿,124.73 亿,32.422706604003906,138686407.0,111100,133248,2,IT服务Ⅱ,涨停,,,
6,协鑫能科,002015,2.0,2天2板,9.98719596862793,17.18,19.62 亿,278.89 亿,278.89 亿,7.070132255554199,243256808.0,093233,094836,2,电力,涨停,,,
7,金开新能,600821,2.0,7天4板,10.0,9.46,7.60 亿,188.94 亿,188.94 亿,4.024060249328613,509688907.0,092501,092501,0,电力,涨停,,,
8,宁波建工,601789,2.0,2天2板,10.018214225769043,6.04,2.80 亿,65.64 亿,92.07 亿,4.261458396911621,231745136.0,092504,092504,0,房屋建设,涨停,,,
9,拓维信息,002261,2.0,2天2板,10.01280403137207,42.96,137.98 亿,492.17 亿,541.22 亿,29.7503604888916,272697879.0,141033,141033,0,软件开发,涨停,,,
10,云赛智联,600602,1.0,首板,9.98023796081543,22.26,26.70 亿,239.14 亿,304.44 亿,11.315990447998047,190316433.0,094313,100237,2,软件开发,涨停,,,
11,泽宇智能,301179,1.0,首板,19.99003028869629,24.07,7.76 亿,57.17 亿,97.34 亿,14.588388442993164,114709051.0,101348,101348,0,电网设备,涨停,,,
12,优刻得-W,688158,1.0,首板,19.989423751831055,45.38,31.08 亿,184.00 亿,207.07 亿,17.414329528808594,280158421.0,094147,094147,0,IT服务Ⅱ,涨停,,,
13,海量数据,603138,1.0,首板,10.014171600341797,23.29,10.00 亿,67.16 亿,68.44 亿,15.303751945495605,52834948.0,094118,112922,1,IT服务Ⅱ,涨停,,,
14,国电南自,600268,1.0,首板,10.033670425415039,16.34,13.42 亿,165.17 亿,165.99 亿,8.58376693725586,180394318.0,104257,104257,0,电网设备,涨停,,,
15,南网能源,003035,1.0,首板,9.988518714904785,9.58,21.64 亿,362.88 亿,362.88 亿,6.240450859069824,201313267.0,140118,140118,0,电力,涨停,,,
