序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,300750,宁德时代,376.3,5.26,190.49 亿,BK0096,电池,动力电池、储能电池的研发、生产、销售。,1
2,300502,新易盛,397.33,3.47,166.96 亿,BK0029,通信设备,高性能光模块的研发、生产和销售。,1
3,300308,中际旭创,547.0,3.99,153.49 亿,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,2
4,000988,华工科技,123.51,4.14,136.37 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
5,002261,拓维信息,41.76,-2.79,132.04 亿,BK0087,软件开发,软件服务与解决方案、AI行业大模型与行业应用、开源鸿蒙行业发行版及创新性产品与解决方案、智能计算。,1
6,300394,天孚通信,340.48,10.92,127.46 亿,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,3
7,000547,航天发展,33.66,4.86,122.02 亿,BK0091,军工电子,蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能与安全。,1
8,600410,华胜天成,31.83,4.33,115.63 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,1
9,300017,网宿科技,20.39,1.8,115.55 亿,BK0086,IT服务,CDN及边缘计算、安全。,2
10,600089,特变电工,31.86,-2.75,113.29 亿,BK0065,综合,输变电业务、新能源业务、能源业务及新材料业务。,1
11,300476,胜宏科技,289.0,7.02,113.09 亿,BK0085,元件,新型电子器件（高精密度线路板）的研究开发、生产和销售。,1
12,601868,中国能建,3.14,6.8,99.89 亿,BK0016,建筑装饰,勘测设计及咨询、工程建设、工业制造、投资运营。,1
13,002384,东山精密,108.06,10.0,96.00 亿,BK0085,元件,电子电路产品、精密组件、触控显示模组、LED显示器件等的研发、生产和销售。,2
14,300274,阳光电源,156.1,0.19,92.59 亿,BK0094,光伏设备,太阳能、风能、储能、氢能、电动汽车及充电等新能源电源设备的研发、生产、销售和服务。,1
15,601179,中国西电,19.99,-0.89,88.77 亿,BK0093,电网设备,输配电及控制设备研发、设计、制造、销售、检测、相关设备成套、技术研究、服务与工程承包等业务。,1
16,002475,立讯精密,49.39,6.22,88.75 亿,BK0024,消费电子,连接器产品研发、生产和销售。,1
17,688525,佰维存储,213.75,-1.34,84.71 亿,BK0021,半导体,半导体存储器的研发设计、封装测试、生产和销售。,1
18,002506,协鑫集成,6.07,5.02,83.73 亿,BK0094,光伏设备,高效电池组件、能源工程、综合能源系统集成等相关产品的研发、设计、生产、销售及一站式服务。,2
19,600498,烽火通信,57.2,10.0,80.10 亿,BK0029,通信设备,通信系统设备、光纤及线缆、数据网络等产品的生产与销售。,4
20,688158,优刻得-W,51.59,13.68,76.25 亿,BK0086,IT服务,以自主研发并提供计算、存储、网络等企业必需的基础IT架构为核心的云计算服务。,3
