序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,300502,新易盛,397.33,3.47,166.96 亿,BK0029,通信设备,高性能光模块的研发、生产和销售。,1
2,300308,中际旭创,547.0,3.99,153.49 亿,BK0029,通信设备,高端光通信收发模块的研发、生产及销售。,2
3,000988,华工科技,123.51,4.14,136.37 亿,BK0071,自动化设备,激光设备的生产与销售、激光防伪标识的生产与销售、敏感电子元器件的生产与销售、光通信电子元器件的生产与销售、计算机软件与信息系统集成等技术及产品的开发、研制、销售等业务。,1
4,300394,天孚通信,340.48,10.92,127.46 亿,BK0029,通信设备,高速光器件的研发、规模量产和销售业务。,3
5,600410,华胜天成,31.83,4.33,115.63 亿,BK0086,IT服务,IT系统解决方案、数字化基础设施、数字化应用等业务的生产、制造和销售。,1
6,300476,胜宏科技,289.0,7.02,113.09 亿,BK0085,元件,新型电子器件（高精密度线路板）的研究开发、生产和销售。,1
7,601868,中国能建,3.14,6.8,99.89 亿,BK0016,建筑装饰,勘测设计及咨询、工程建设、工业制造、投资运营。,1
8,002384,东山精密,108.06,10.0,96.00 亿,BK0085,元件,电子电路产品、精密组件、触控显示模组、LED显示器件等的研发、生产和销售。,2
9,002475,立讯精密,49.39,6.22,88.75 亿,BK0024,消费电子,连接器产品研发、生产和销售。,1
10,600498,烽火通信,57.2,10.0,80.10 亿,BK0029,通信设备,通信系统设备、光纤及线缆、数据网络等产品的生产与销售。,4
