序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,002130,沃尔核材,3.26576566696167,27.51,29.3,53.90 亿,314.86 亿,385.11 亿,16.589651107788086,0.0,093000,2,0/0,7.357357501983643,其他电子
2,000822,山东海化,2.7439024448394775,6.74,7.22,8.03 亿,60.33 亿,60.33 亿,12.930628776550293,0.0,093100,1,0/0,8.079268455505371,化学原料
3,603977,国泰集团,6.369009017944336,16.2,16.75,11.77 亿,100.64 亿,100.64 亿,11.57120418548584,-0.0616903118789196,093258,2,0/0,5.581089973449707,化学制品
4,000717,中南股份,7.063197135925293,2.88,2.96,5.38 亿,69.80 亿,69.81 亿,7.642116069793701,0.0,093354,3,0/0,9.665427207946777,普钢
5,600231,凌钢股份,4.888888835906982,2.36,2.48,3.97 亿,66.41 亿,67.25 亿,5.832296371459961,2.1645021438598633,093417,2,0/0,9.777777671813965,普钢
6,600032,浙江新能,7.300116062164307,9.26,9.49,10.37 亿,222.67 亿,222.67 亿,4.634283065795898,0.0,094459,4,0/0,11.471610069274902,电力
7,000981,山子高科,8.857809066772461,4.67,4.72,56.52 亿,444.27 亿,466.88 亿,12.76693344116211,0.21459227800369263,095239,1,0/0,10.489510536193848,汽车零部
8,002857,三晖电气,4.016064167022705,25.9,27.39,5.56 亿,33.15 亿,33.83 亿,16.438074111938477,-0.15420199930667877,095903,2,0/0,11.646586418151855,电网设备
9,600340,华夏幸福,5.732484340667725,1.66,1.73,6.75 亿,64.63 亿,64.97 亿,10.307409286499023,0.0,095951,3,0/0,10.828025817871094,房地产开
10,603105,芯能科技,6.500955581665039,11.14,11.51,9.93 亿,55.70 亿,55.70 亿,17.6741886138916,0.0,100446,2,0/0,10.325048446655273,电力
11,603093,南华期货,6.539775371551514,21.83,22.54,7.75 亿,133.18 亿,156.68 亿,5.825235366821289,0.18357044458389282,100710,2,0/0,11.224987983703613,多元金融
12,002652,扬子新材,-1.612903118133545,5.49,6.14,7.98 亿,28.11 亿,28.11 亿,26.723621368408203,-0.1818181872367859,102933,1,0/0,12.544803619384766,装修建材
13,603175,超颖电子,8.629096031188965,95.8,97.01,17.94 亿,42.15 亿,418.67 亿,43.12998580932617,-0.05216483771800995,103056,4,2/1,8.527044296264648,元件
14,601330,绿色动力,7.777778148651123,9.7,9.9,11.18 亿,95.94 亿,138.77 亿,12.105204582214355,0.0,103858,1,0/0,14.666666030883789,环境治理
15,600930,华电新能,6.750391960144043,6.8,7.01,57.52 亿,219.63 亿,2836.57 亿,26.241573333740234,0.0,105911,2,0/0,11.302983283996582,电力
16,600610,中毅达,6.710775375366211,11.29,11.64,11.65 亿,80.02 亿,120.95 亿,14.665176391601562,0.0,130349,1,0/0,10.964082717895508,化学原料
17,002175,东方智造,7.0621466636657715,3.79,3.89,7.37 亿,48.39 亿,48.39 亿,15.51415729522705,0.0,131727,1,0/0,11.299434661865234,通用设备
