序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,9.974905967712402,17.53,1.30 亿,31.76 亿,49.64 亿,4.094878196716309,371406321,092500,092500,0,2/2,2,光学光电
2,002565,顺灏股份,10.0,14.74,13.18 亿,156.24 亿,156.24 亿,8.45085334777832,155120207,093000,111230,1,1/1,1,包装印刷
3,605277,新亚电子,10.021505355834961,25.58,3.67 亿,81.38 亿,82.88 亿,4.514594078063965,125641439,093000,093000,0,1/1,1,消费电子
4,600683,京投发展,9.95850658416748,10.6,4.81 亿,78.52 亿,78.52 亿,6.166497707366943,59480840,093040,094013,2,3/3,3,房地产开
5,600545,卓郎智能,9.97624683380127,4.63,6.42 亿,82.78 亿,82.78 亿,7.828392505645752,30953837,093049,093328,1,10/5,2,专用设备
6,600569,安阳钢铁,10.15625,2.82,2.43 亿,81.00 亿,81.00 亿,3.0255088806152344,15975629,093128,093155,1,1/1,1,普钢
7,600307,酒钢宏兴,10.0,2.2,4.35 亿,137.79 亿,137.79 亿,3.209782600402832,185389399,093306,093306,0,3/2,1,普钢
8,600396,华电辽能,10.070257186889648,4.7,8.41 亿,69.22 亿,69.22 亿,12.534735679626465,105171430,093329,094038,1,2/2,2,电力
9,000042,中洲控股,9.953703880310059,9.5,7833.13 万,63.09 亿,63.16 亿,1.2670142650604248,38584848,093406,093406,0,1/1,1,房地产开
10,600370,三房巷,10.0,3.3,8.05 亿,128.59 亿,128.59 亿,6.517078876495361,56623759,093452,095607,4,4/4,4,化学纤维
11,002506,协鑫集成,9.9609375,5.63,53.18 亿,329.04 亿,329.37 亿,16.35757827758789,199572375,093454,095709,2,1/1,1,光伏设备
12,002323,雅博股份,10.0,2.75,5.19 亿,58.31 亿,58.32 亿,9.185709953308105,82899539,093642,093642,0,3/2,1,专业工程
13,600691,潞化科技,10.023309707641602,4.72,19.31 亿,112.13 亿,112.15 亿,17.583171844482422,30721314,093717,112753,7,4/3,1,农化制品
14,600408,安泰集团,9.974424362182617,4.3,5.53 亿,43.29 亿,43.29 亿,13.023843765258789,43380059,093918,094118,1,3/2,1,焦炭Ⅱ
15,600227,赤天化,9.979209899902344,5.29,23.15 亿,67.59 亿,89.33 亿,35.969032287597656,77712369,094030,142536,1,12/6,3,农化制品
16,000572,海马汽车,10.0,6.82,7.60 亿,112.00 亿,112.16 亿,6.909920692443848,83828030,094048,094048,0,1/1,1,乘用车
17,600791,京能置业,9.988248825073242,9.36,1.67 亿,42.34 亿,42.39 亿,4.061318397521973,38109240,094928,094928,0,1/1,1,房地产开
18,600643,爱建集团,10.107526779174805,5.12,4.61 亿,81.43 亿,81.57 亿,5.758128643035889,5173760,095346,095807,1,1/1,1,多元金融
19,002285,世联行,10.0,3.41,7.04 亿,67.37 亿,67.96 亿,10.6731538772583,51045995,095357,131642,1,1/1,1,房地产服
20,603929,亚翔集成,9.999354362487793,170.4,17.95 亿,363.57 亿,363.57 亿,5.064891815185547,18880320,100306,142948,26,3/3,3,专业工程
21,603693,江苏新能,9.972298622131348,15.88,5.30 亿,141.57 亿,141.57 亿,3.9261014461517334,169814145,101833,101833,0,4/2,1,电力
22,002256,兆新股份,10.051546096801758,4.27,9.16 亿,83.31 亿,85.14 亿,11.351865768432617,129805472,102121,102121,0,1/1,1,电力
23,603248,锡华科技,9.993552207946777,34.12,9.99 亿,23.65 亿,156.95 亿,43.9037971496582,70108445,102136,102136,0,3/3,3,风电设备
24,603387,基蛋生物,10.023309707641602,9.44,3.57 亿,47.88 亿,47.88 亿,7.623419761657715,24273156,102401,140311,2,1/1,1,医疗器械
25,601016,节能风电,9.90338134765625,4.55,48.74 亿,270.00 亿,293.04 亿,18.653331756591797,70952108,103602,145041,3,5/3,1,电力
26,000890,法尔胜,10.0,13.42,12.43 亿,56.30 亿,56.30 亿,22.964786529541016,33523146,104648,104721,1,17/10,4,环保设备
27,301667,纳百川,20.0,105.36,11.82 亿,23.70 亿,117.66 亿,54.217708587646484,62032175,104715,104715,0,4/2,1,汽车零部
28,001369,双欣材料,9.97706413269043,19.18,11.77 亿,38.56 亿,219.99 亿,31.797515869140625,53888128,104833,105021,1,1/1,1,化学纤维
29,002150,正泰电源,10.0,34.87,9.52 亿,125.02 亿,125.83 亿,7.959907531738281,154022777,105509,105509,0,5/3,1,通用设备
30,002629,仁智股份,9.936908721923828,6.97,3.67 亿,29.50 亿,29.70 亿,12.850224494934082,115819793,105651,105651,0,1/1,1,油服工程
31,301680,固德电材,20.0,130.8,12.65 亿,21.98 亿,108.30 亿,61.821659088134766,27999963,110045,134406,4,1/1,1,汽车零部
32,603685,晨丰科技,10.018552780151367,29.65,1.73 亿,59.73 亿,74.41 亿,2.9844443798065186,74016747,110706,110706,0,1/1,1,光学光电
33,301226,祥明智能,20.01150131225586,41.74,7.52 亿,45.41 亿,45.41 亿,17.898141860961914,72929714,130327,130327,0,1/1,1,电机Ⅱ
34,605167,利柏特,10.011848449707031,18.57,2.15 亿,83.39 亿,83.39 亿,2.666416883468628,133303296,130412,130412,0,1/1,1,专业工程
35,603778,国晟科技,9.982254028320312,24.79,38.10 亿,159.36 亿,162.78 亿,24.438594818115234,12878405,130553,145338,2,8/4,2,光伏设备
36,603992,松霖科技,10.009910583496094,33.3,3.39 亿,144.26 亿,144.26 亿,2.43605899810791,105722571,131218,131218,0,4/2,1,家居用品
37,000533,顺钠股份,10.02143669128418,20.53,51.45 亿,140.61 亿,141.82 亿,39.661495208740234,126249235,131818,145133,2,10/6,2,电网设备
38,688295,中复神鹰,20.0,59.4,25.21 亿,534.60 亿,534.60 亿,5.105863094329834,73634794,133623,150000,9,4/2,1,化学纤维
39,002470,金正大,10.091742515563965,3.6,30.77 亿,118.29 亿,118.30 亿,27.84746742248535,183064320,143324,143324,0,3/2,1,农化制品
