序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,569.41,-3.339,149.42 亿
2,sz300502,新易盛,442.84,-3.39,125.71 亿
3,sh601138,工业富联,51.46,4.445,122.73 亿
4,sh603986,兆易创新,238.1,-6.938,103.78 亿
5,sz300750,宁德时代,401.7,-2.736,101.60 亿
6,sz300274,阳光电源,150.76,-4.036,94.30 亿
7,sh600487,亨通光电,52.66,-2.21,93.35 亿
8,sh688525,佰维存储,211.99,-8.621,90.76 亿
9,sh600519,贵州茅台,1450.0,2.113,90.15 亿
10,sh601899,紫金矿业,32.72,-0.183,83.53 亿
11,sz002475,立讯精密,49.26,1.025,83.02 亿
12,sz300394,天孚通信,301.6,-4.801,82.41 亿
13,sz001309,德明利,380.1,-5.046,79.21 亿
14,sz300136,信维通信,64.96,0.995,77.64 亿
15,sz300014,亿纬锂能,62.23,-9.929,76.97 亿
16,sh600498,烽火通信,50.48,3.443,74.31 亿
17,sz000547,航天发展,28.46,-0.767,72.87 亿
18,sz300058,蓝色光标,14.8,2.778,72.25 亿
19,sz002202,金风科技,26.3,-5.123,71.21 亿
20,sh603601,再升科技,15.49,6.828,70.71 亿
