序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,新天药业,002873,2天1板,-4.8739495277404785,11.32,13.09,8.71 亿,27.13 亿,27.63 亿,30.22473907470703,0.44365572929382324,092500,1,16.0504207611084,中药Ⅱ
2,金富科技,003018,0天0板,8.342096328735352,30.91,31.38,5.36 亿,73.38 亿,80.37 亿,7.3396196365356445,-0.032341524958610535,093400,1,9.989484786987305,包装印刷
3,津药药业,600488,8天7板,-4.041720867156982,7.36,8.44,21.92 亿,80.36 亿,80.36 亿,25.77555274963379,0.0,093415,1,17.079530715942383,化学制药
4,新能泰山,000720,11天8板,2.6033689975738525,6.7,7.18,29.66 亿,84.19 亿,84.19 亿,34.77028274536133,0.9036144018173218,093451,2,12.09800910949707,电网设备
5,山金国际,000975,0天0板,8.620101928710938,31.88,32.29,22.71 亿,805.75 亿,885.22 亿,2.8188509941101074,0.0627746433019638,095015,2,3.7819418907165527,贵金属
6,远程股份,002692,0天0板,7.329843044281006,6.15,6.3,4.27 亿,44.14 亿,44.17 亿,9.701016426086426,0.16286644339561462,100233,1,8.726003646850586,电网设备
7,网达软件,603189,0天0板,5.727644443511963,18.09,18.82,4.54 亿,48.76 亿,48.76 亿,9.4007568359375,0.055309735238552094,101850,1,8.708357810974121,软件开发
8,志特新材,300986,0天0板,14.0,27.93,29.4,23.07 亿,114.97 亿,115.06 亿,20.359216690063477,0.0,102054,1,18.775510787963867,专业工程
9,腾龙股份,603158,0天0板,8.465608596801758,12.3,12.47,8.22 亿,60.36 亿,60.36 亿,13.741817474365234,0.0,111156,1,7.583774089813232,汽车零部
10,泰晶科技,603738,0天0板,8.044554710388184,26.19,26.66,16.41 亿,101.06 亿,101.06 亿,16.43956756591797,0.11467889696359634,112450,1,7.4257426261901855,元件
11,沃格光电,603773,0天0板,8.358662605285645,35.65,36.19,4.69 亿,80.09 亿,80.12 亿,5.937750339508057,0.0,131307,1,7.841945648193359,光学光电
12,风华高科,000636,0天0板,6.900269508361816,19.83,20.41,20.29 亿,229.44 亿,229.44 亿,8.849408149719238,-0.10075566917657852,132233,2,6.576819896697998,元件
13,腾达建设,600512,0天0板,7.56302547454834,2.56,2.62,3.16 亿,40.64 亿,40.80 亿,7.877053260803223,0.0,132944,1,8.823529243469238,基础建设
14,中国动力,600482,0天0板,7.858243465423584,35.0,35.7,20.13 亿,793.89 亿,793.89 亿,2.5743401050567627,-0.17113518714904785,134206,2,7.889060020446777,其他电源
15,智动力,300686,0天0板,18.00664520263672,17.76,18.06,7.59 亿,45.98 亿,46.29 亿,17.164501190185547,0.0,134551,1,16.34551429748535,消费电子
16,卓郎智能,600545,0天0板,7.880434989929199,3.97,4.05,6.82 亿,70.98 亿,70.98 亿,9.666723251342773,-0.2512562870979309,135132,3,8.15217399597168,专用设备
