序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,汇源通信,000586,5.0,5天5板,9.982486724853516,25.12,13.37 亿,48.59 亿,48.59 亿,27.679044723510742,103648712.0,093018,133900,2,通信设备,,,
2,华远控股,600743,3.0,3天3板,10.045661926269531,2.41,4.25 亿,56.54 亿,56.54 亿,8.038722038269043,36991412.0,130755,130904,1,一般零售,,,
9,华懋科技,603306,2.0,2天2板,9.995467185974121,97.06,20.59 亿,319.81 亿,319.81 亿,6.659212112426758,20372894.0,132356,132356,0,汽车零部,,,
15,五方光电,002962,1.0,首板,10.021474838256836,15.37,2.45 亿,32.15 亿,44.83 亿,7.734543800354004,50653249.0,093624,093624,0,光学光电,,,
22,航天电器,002025,1.0,3天2板,9.9985933303833,78.22,20.46 亿,355.02 亿,356.23 亿,5.914431571960449,173686884.0,095248,095248,0,军工电子,,,
27,沃格光电,603773,1.0,首板,10.01402473449707,39.22,8.66 亿,88.11 亿,88.14 亿,10.047319412231445,35490727.0,095848,095954,1,光学光电,,,
31,光迅科技,002281,1.0,首板,10.004071235656738,108.09,93.81 亿,842.54 亿,871.94 亿,11.430968284606934,353510939.0,101812,132257,8,通信设备,,,
37,天通股份,600330,1.0,首板,9.994416236877441,19.7,18.81 亿,242.99 亿,242.99 亿,8.141063690185547,311072672.0,095441,095441,0,电子化学,,,
40,长江通信,600345,1.0,首板,9.99332332611084,49.42,11.42 亿,104.55 亿,162.89 亿,11.362245559692383,72894500.0,103708,104241,1,通信设备,,,
51,特发信息,000070,1.0,首板,10.010537147521973,20.88,35.91 亿,185.56 亿,187.99 亿,20.95423698425293,238659464.0,135848,135848,0,通信设备,,,
53,长飞光纤,601869,1.0,首板,10.0,398.31,80.99 亿,1618.49 亿,3297.63 亿,5.280900478363037,461329811.0,145328,145328,0,通信设备,,,
1,中安科,600654,0.0,4天3板,1.8181817531585693,4.48,31.31 亿,103.82 亿,128.92 亿,29.10759162902832,,092502,,2,软件开发,4.84,0.0,9.090909004211426
4,中工国际,002051,0.0,5天3板,-0.26019081473350525,11.5,27.98 亿,142.29 亿,142.30 亿,18.682235717773438,,093227,,1,专业工程,12.68,-0.26019081473350525,10.234171867370605
5,金陵药业,000919,0.0,3天2板,-3.7037036418914795,8.58,17.22 亿,53.35 亿,53.36 亿,29.564199447631836,,093436,,4,化学制药,9.8,0.0,14.927048683166504
