序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600743,华远控股,2.92,10.19,0.27,810129,2.36 亿,4.15,2.92,2.81,2.92,2.65,3.45,-140.76,10.82,昨日连板_含一字
2,603950,长源东谷,54.31,10.01,4.94,281492,14.83 亿,8.06,54.31,50.33,52.0,49.37,8.7,45.25,5.84,昨日连板_含一字
3,002580,圣阳股份,20.88,10.01,1.9,1021391,20.75 亿,8.06,20.88,19.35,19.45,18.98,22.58,44.38,4.07,昨日连板_含一字
4,002364,中恒电气,38.63,9.99,3.51,150094,5.80 亿,0.0,38.63,38.63,38.63,35.12,2.69,224.99,9.0,昨日连板_含一字
5,002824,和胜股份,27.1,7.24,1.83,609759,16.26 亿,11.12,27.8,24.99,24.99,25.27,27.72,63.07,3.73,昨日连板_含一字
6,002328,新朋股份,10.76,6.43,0.65,2309409,24.74 亿,9.1,11.12,10.2,11.12,10.11,40.46,43.95,2.5,昨日连板_含一字
7,000793,*ST华闻,3.11,5.07,0.15,128395,3993.08 万,0.0,3.11,3.11,3.11,2.96,0.65,-45.97,54.23,昨日连板_含一字
8,603813,*ST原尚,27.73,5.0,1.32,5387,1493.10 万,0.87,27.73,27.5,27.73,26.41,0.51,-53.88,5.34,昨日连板_含一字
9,002528,ST英飞拓,5.09,4.95,0.24,122131,6160.31 万,3.3,5.09,4.93,5.03,4.85,1.16,-61.72,60.3,昨日连板_含一字
10,603773,沃格光电,44.0,1.99,0.86,328521,14.45 亿,8.21,45.4,41.86,41.86,43.14,14.62,-110.79,8.47,昨日连板_含一字
11,002650,ST加加,8.2,1.36,0.11,320147,2.61 亿,6.92,8.41,7.85,8.1,8.09,2.89,-377.48,5.1,昨日连板_含一字
12,600345,长江通信,55.0,1.18,0.64,447642,24.54 亿,7.12,57.08,53.21,55.0,54.36,21.16,817.3,5.15,昨日连板_含一字
13,603777,来伊份,16.9,-0.41,-0.07,692833,11.72 亿,8.84,17.5,16.0,17.15,16.97,20.72,-33.82,3.57,昨日连板_含一字
14,600707,彩虹股份,6.89,-1.85,-0.13,1637688,11.35 亿,4.7,7.12,6.79,6.95,7.02,4.56,48.88,1.14,昨日连板_含一字
15,002962,五方光电,16.58,-1.95,-0.33,523016,8.61 亿,4.2,16.84,16.13,16.15,16.91,25.0,99.88,2.73,昨日连板_含一字
