序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,301666,N大普微-UW,244.55,430.71,198.47,219933.0,4863699476.21,119.38,255.0,199.99,207.23,46.08,,82.94,-221.93,230.51,106676710838.0,6484571681.0,-0.03,-0.14,430.71,430.71
2,603293,N埃泰克,71.02,112.06,37.53,252308.0,1865550408.0,42.4,85.2,71.0,71.0,33.49,,71.89,51.2,6.39,12719018531.0,2492554211.0,-0.04,-0.03,112.06,112.06
3,920177,N恒道,36.58,67.8,14.78,106243.0,407731461.94,20.5,41.01,36.54,40.0,21.8,,90.25,24.16,3.56,1913865600.0,430619760.0,-0.05,-0.03,67.8,67.8
4,920249,利尔达,9.77,23.83,1.88,360880.0,341405752.75,28.14,10.25,8.03,8.03,7.89,5.54,28.95,97.32,5.4,4119325100.0,1218021758.0,0.0,0.1,-32.06,-25.13
5,300027,华谊兄弟,2.09,20.11,0.35,3876682.0,807180715.47,5.17,2.09,2.0,2.09,1.74,2.82,15.6,-38.18,22.03,5798717371.0,5193605665.0,0.0,0.0,-11.06,-3.69
6,300798,锦鸡股份,13.42,20.04,2.24,816710.0,999306307.69,20.93,13.42,11.08,11.29,11.18,1.9,21.41,-310.03,3.75,6292169280.0,5118609027.0,0.0,0.0,75.88,88.75
7,688227,品高股份,84.47,20.0,14.08,77902.0,607476149.0,21.38,84.47,69.42,69.42,70.39,2.82,6.89,-183.99,7.4,9549779079.0,9549779079.0,0.0,0.0,0.56,29.93
8,301396,宏景科技,289.42,20.0,48.24,150511.0,4159775655.74,17.17,289.42,248.01,248.01,241.18,0.97,19.78,309.93,34.47,44431048453.0,22019384437.0,0.0,0.0,298.92,336.53
9,301148,嘉戎技术,60.23,20.0,10.04,88146.0,512062960.03,20.0,60.23,50.19,50.19,50.19,6.33,14.97,137.06,3.99,7016619128.0,3545925608.0,0.0,0.0,2.24,26.67
10,688668,鼎通科技,207.23,20.0,34.54,131729.0,2588415608.0,17.79,207.23,176.5,179.0,172.69,1.92,9.46,89.82,14.03,28861047681.0,28861047681.0,0.0,0.0,94.22,67.12
