序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000062,深圳华强,39.09,8.38,8697.2572,328261.8776,涨幅偏离值达7%的证券
2,002008,大族激光,134.27,8.38,6743.6577,873612.7414,涨幅偏离值达7%的证券
3,002179,中航光电,40.61,8.38,10980.5024,442938.5719,涨幅偏离值达7%的证券
4,002281,光迅科技,198.79,8.38,7703.187,1476637.5561,涨幅偏离值达7%的证券
5,002865,钧达股份,106.18,8.38,2615.5392,276772.4188,涨幅偏离值达7%的证券
6,600078,澄星股份,16.23,8.95,6002.9708,94984.54,涨幅偏离值达7%的证券
7,600379,宝光股份,18.43,8.95,9488.5498,170502.5,涨幅偏离值达7%的证券
8,600530,交大昂立,6.55,9.0,1380.465,9008.65,涨幅偏离值达7%的证券
9,600748,上实发展,6.03,8.96,3966.861,23581.65,涨幅偏离值达7%的证券
10,601609,金田股份,11.41,8.95,10703.1329,118880.04,涨幅偏离值达7%的证券
11,000967,盈峰环境,14.83,-10.64,33597.0198,506386.8699,跌幅偏离值达7%的证券
12,001313,粤海饲料,8.63,-11.62,5284.5191,46797.0421,跌幅偏离值达7%的证券
13,002294,信立泰,43.11,-11.62,1308.91,56916.0485,跌幅偏离值达7%的证券
14,002655,共达电声,36.37,-9.29,10276.2891,384655.7929,跌幅偏离值达7%的证券
15,002950,奥美医疗,12.75,-11.62,4213.5662,55719.3191,跌幅偏离值达7%的证券
16,603538,美诺华,57.33,-11.08,6230.1055,370826.92,跌幅偏离值达7%的证券
17,603778,国晟科技,24.29,-11.08,10344.5796,256329.95,跌幅偏离值达7%的证券
18,605299,舒华体育,25.05,-8.75,4387.2717,112093.78,跌幅偏离值达7%的证券
19,605366,宏柏新材,12.13,-9.19,5862.5776,72826.8,跌幅偏离值达7%的证券
20,605389,长龄液压,115.4,-9.86,603.5748,72948.36,跌幅偏离值达7%的证券
21,002580,圣阳股份,34.27,16.63,17431.8785,579973.9211,振幅值达15%的证券
22,600130,波导股份,6.48,20.68,26982.013,173859.36,振幅值达15%的证券
23,600076,康欣新材,3.96,20.03,9569.5497,36116.24,连续三个交易日内，涨幅偏离值累计达20%的证券
24,600234,科新发展,31.47,23.07,2771.6683,78662.12,连续三个交易日内，涨幅偏离值累计达20%的证券
25,600545,卓郎智能,6.06,20.13,34814.8366,185908.04,连续三个交易日内，涨幅偏离值累计达20%的证券
26,600683,京投发展,18.95,25.02,12034.2968,208041.32,连续三个交易日内，涨幅偏离值累计达20%的证券
27,603010,万盛股份,15.89,20.29,9120.5041,135707.27,连续三个交易日内，涨幅偏离值累计达20%的证券
28,605189,富春染织,19.97,20.13,4920.1851,88903.96,连续三个交易日内，涨幅偏离值累计达20%的证券
29,002361,神剑股份,22.25,32.66,27582.5953,601590.0397,换手率达20%的证券
30,002866,传艺科技,27.65,31.76,5835.68,165102.3498,换手率达20%的证券
31,002902,铭普光磁,38.0,40.24,7502.6901,278194.3948,换手率达20%的证券
32,600589,大位科技,13.02,27.39,40496.2449,525107.32,换手率达20%的证券
33,603278,大业股份,15.35,33.37,11404.9519,178026.6,换手率达20%的证券
34,920012,创达新材,70.02,45.39,602.2634,42718.83,换手率达20%的证券
35,920036,觅睿科技,52.03,37.22,486.102,24552.9,换手率达20%的证券
36,920078,族兴新材,34.14,43.29,896.0355,29820.73,换手率达20%的证券
37,920181,赛英电子,113.96,36.07,361.4139,40280.81,换手率达20%的证券
38,920200,振宏股份,70.27,53.13,1286.8144,86738.3,换手率达20%的证券
39,300283,温州宏丰,15.88,36.91,14020.408,228275.486,
40,301666,大普微,501.17,34.49,914.4284,479155.1288,
41,301667,纳百川,117.1,31.54,709.4294,81446.2005,
42,301687,新广益,70.29,38.92,1149.5094,77539.5561,
43,301696,三瑞智能,123.08,41.17,1238.3967,154193.4892,
44,688811,有研复材,28.89,31.63,2913.7086,84640.58,
45,688820,盛合晶微,144.5,31.37,5423.9018,744070.27,
46,300302,同有科技,42.6,37.86,21557.8753,778693.2969,
47,300736,百邦科技,40.16,36.9,4530.6895,160038.6283,
48,688167,炬光科技,478.1,32.23,2709.4702,1168087.21,
49,688260,昀冢科技,50.69,30.79,3363.6948,157923.58,
50,688545,兴福电子,75.6,33.45,5908.3424,397706.23,
51,688693,锴威特,123.53,30.81,2489.5144,261862.0,
52,300604,长川科技,218.41,20.0,4706.2419,972983.3582,
53,300616,尚品宅配,17.59,20.0,2175.3346,36041.3593,
54,301188,力诺药包,33.0,20.0,3442.495,105979.3275,
55,688146,中船特气,95.81,20.0,2789.0302,252159.52,
56,688189,南新制药,10.55,20.02,3378.4118,33907.49,
57,688551,科威尔,60.46,20.01,864.5489,51139.89,
58,688766,普冉股份,381.0,20.0,1043.847,388848.79,
59,301531,春光集团,97.5,0.0,3899.4696,356564.3595,无价格涨跌幅限制的证券
60,603407,长裕集团,91.84,0.0,2970.0944,235258.29,无价格涨跌幅限制的证券
61,920125,鸿仕达,129.07,29.99,509.4738,59743.66,
62,920186,中科仪,109.99,25.05,2336.0544,228962.61,
63,920699,海达尔,56.6,30.0,312.6459,16268.13,
