序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,001366,播恩集团,-10.0,13.05,3.04亿,20.97亿,20.97亿,103.01688385009766,14.174070358276367,1396350,150000,12257758,1,2,饲料
2,002678,珠江钢琴,-10.038609504699707,4.66,1.43亿,63.26亿,63.30亿,-25.109724044799805,2.16015887260437,8886620,141406,43945198,1,9,文娱用品
3,002679,福建金森,-9.967320442199707,11.02,3.58亿,25.98亿,25.98亿,-95.6441421508789,13.592631340026855,10088270,143057,643470856,1,4,林业Ⅱ
4,002742,冀衡医药,-9.940357208251953,4.53,4.73亿,23.73亿,30.99亿,-76.94190216064453,19.534992218017578,16378663,144018,92133204,2,13,化学制药
5,002855,捷荣技术,-9.994739532470703,17.11,6.80亿,42.13亿,42.16亿,-54.274688720703125,15.586522102355957,23269189,142830,703466082,1,2,消费电子
6,600227,赤天化,-9.979633331298828,4.42,14.29亿,56.47亿,74.64亿,96.17670440673828,24.246912002563477,41085005,144530,104359735,1,1,农化制品
7,002999,天禾股份,-9.959073066711426,6.6,2.92亿,22.75亿,22.94亿,37.549896240234375,12.63632583618164,41667978,100727,72136020,1,1,农化制品
8,600722,金牛化工,-10.020769119262695,17.33,25.16亿,117.90亿,117.90亿,167.94898986816406,20.61749267578125,104156436,144116,122835160,1,0,化学原料
9,000560,我爱我家,-10.06289291381836,2.86,16.62亿,67.00亿,67.37亿,41.692138671875,24.016040802001953,107342706,142927,84366544,1,0,房地产服
10,002886,沃特股份,-9.987030029296875,27.76,14.30亿,58.04亿,73.07亿,133.20608520507812,24.28767967224121,125215921,130018,441227488,1,12,塑料
11,003032,传智教育,-10.0,10.8,4.94亿,30.72亿,43.46亿,63.141754150390625,15.304366111755371,155921338,101024,57575880,1,0,教育
12,603221,爱丽家居,-10.008990287780762,30.03,1.83亿,72.75亿,72.75亿,-94.53559875488281,2.5168819427490234,211925313,093121,2905288386,1,1,家居用品
13,603339,四方科技,-10.025873184204102,13.91,4486.25万,43.04亿,43.04亿,24.940603256225586,1.0422658920288086,230498200,092502,950578798,1,0,通用设备
14,600540,新赛股份,-9.955423355102539,6.06,8421.10万,35.23亿,35.23亿,14.080282211303711,2.3902220726013184,308021582,092501,2405008566,1,0,种植业
15,605179,一鸣食品,-10.0,28.08,7870.54万,112.60亿,112.60亿,144.3183135986328,0.698977530002594,315663791,092502,1509547104,2,0,饮料乳品
16,000017,深中华A,-9.957447052001953,10.58,3446.65万,46.64亿,72.92亿,344.49591064453125,0.7390058636665344,510787492,092500,483959882,1,0,饰品
