序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,闽东电力,000993,5,5天5板,10.019646644592285,16.8,22.11亿,76.94亿,76.94亿,29.241926193237305,13642725,093054,144651,28,电力
2,中新赛克,002912,4,4天4板,10.015467643737793,28.45,10.64亿,46.15亿,48.58亿,23.267717361450195,63104347,092500,140933,5,计算机设
3,澳弘电子,605058,3,3天3板,9.989082336425781,40.3,7.45亿,57.60亿,57.60亿,13.08224105834961,5758870,093705,144147,38,元件
4,双星新材,002585,3,3天3板,10.03649616241455,12.06,23.32亿,106.92亿,137.64亿,22.252145767211914,154000025,093621,094609,1,塑料
5,博汇科技,688004,2,2天2板,19.982471466064453,27.38,3.42亿,21.93亿,21.93亿,15.703225135803223,36193293,093100,093842,2,IT服务Ⅱ
6,启明信息,002232,2,2天2板,10.013089179992676,16.81,1.60亿,68.68亿,68.68亿,2.3327391147613525,92903827,093000,093000,0,IT服务Ⅱ
7,宏盛股份,603090,2,2天2板,10.013680458068848,40.21,3.57亿,40.21亿,40.21亿,9.158699989318848,31399989,095328,095328,0,通用设备
8,华瓷股份,001216,1,首板,9.973226547241211,16.43,7494.15万,40.56亿,47.97亿,1.8574665784835815,20752733,093015,093015,0,家居用品
9,上海洗霸,603200,1,首板,10.002762794494629,39.81,2.03亿,69.86亿,69.86亿,2.947615146636963,78610816,093327,093327,0,环境治理
10,华正新材,603186,1,首板,10.0,251.57,24.84亿,394.44亿,394.44亿,6.348108291625977,292393521,093107,094139,1,元件
11,汉王科技,002362,1,首板,9.993715286254883,17.5,2.23亿,36.34亿,42.78亿,6.274034023284912,105123305,093545,093600,1,软件开发
12,会稽山,601579,1,首板,9.9957275390625,25.75,5.07亿,123.46亿,123.46亿,4.222825050354004,56959000,094404,095504,9,非白酒
13,诺德股份,600110,1,首板,9.97280216217041,12.13,23.12亿,210.48亿,210.48亿,11.190329551696777,52594467,094714,140420,1,电池
14,英联股份,002846,1,首板,9.96204948425293,11.59,1.49亿,31.45亿,48.68亿,4.786777973175049,25717051,094836,094836,0,包装印刷
15,欧克科技,001223,1,首板,9.99522876739502,46.11,1.75亿,32.20亿,60.26亿,5.622887134552002,50660734,095233,095312,1,自动化设
16,金龙羽,002882,1,首板,9.990618705749512,23.45,1.41亿,57.92亿,101.52亿,2.4515860080718994,122850493,093006,093006,0,电网设备
17,和顺石油,603353,1,首板,10.007964134216309,41.44,4.47亿,70.62亿,70.62亿,6.4603705406188965,30736048,095311,140553,1,炼化及贸
18,通鼎互联,002491,1,首板,9.995052337646484,22.23,58.40亿,261.53亿,273.43亿,22.699235916137695,92436786,095709,144215,19,通信设备
19,吉鑫科技,601218,1,首板,9.978768348693848,5.18,3.92亿,50.20亿,50.20亿,8.075897216796875,55544622,101204,101246,1,风电设备
20,大金重工,002487,1,首板,10.013946533203125,39.44,30.53亿,248.83亿,291.89亿,12.805334091186523,148769533,101718,103148,2,风电设备
21,大为股份,002213,1,首板,9.996270179748535,29.49,5.03亿,60.96亿,70.90亿,8.451873779296875,77374829,101915,101915,0,半导体
22,中晶科技,003026,1,首板,10.0,30.58,6.25亿,44.08亿,57.97亿,14.495855331420898,24225781,102506,131924,1,半导体
23,德尔未来,002631,1,首板,10.021552085876465,10.21,3.17亿,81.04亿,81.40亿,4.055418491363525,79347015,102851,110924,2,家居用品
24,天顺风能,002531,1,4天2板,10.0,7.81,12.77亿,139.55亿,140.34亿,9.74882698059082,101730459,104639,104639,0,风电设备
25,新中港,605162,1,首板,10.0,11.55,6.84亿,51.15亿,51.15亿,13.909917831420898,7783637,104924,142030,5,电力
26,北自科技,603082,1,首板,10.004568099975586,48.16,6.86亿,19.53亿,80.22亿,37.33750915527344,29266832,110007,112555,5,自动化设
27,锡华科技,603248,1,首板,10.011919021606445,18.46,1.44亿,13.20亿,84.92亿,11.170931816101074,19939735,110417,144432,2,风电设备
28,天龙股份,603266,1,首板,9.993425369262695,16.73,1.54亿,33.27亿,33.27亿,4.733145713806152,23592646,110946,130240,2,汽车零部
29,中闽能源,600163,1,首板,9.965035438537598,6.29,11.79亿,119.70亿,119.70亿,10.243902206420898,10785079,111234,143225,11,电力
30,国邦医药,605507,1,首板,9.987592697143555,17.73,4.74亿,138.71亿,138.71亿,3.505486011505127,8121758,131018,131503,1,化学制药
31,西陇科学,002584,1,首板,10.012674331665039,8.68,5.45亿,41.76亿,50.80亿,13.433220863342285,66631152,131812,132127,1,电子化学
32,浙江众成,002522,1,首板,10.03787899017334,5.81,6.52亿,52.59亿,52.63亿,12.7656888961792,35409753,143654,143654,0,塑料
